file,date_format,comp,srvc,null_val,num_curves,num_params,has_other,start,stop,step,decimal_places,trailing_zeros,total_values,trailing_zeros_pct
261246ac08124561a5c2b4d4aa41369e.las,03/19/14,Demont Energy,TLA,-999.2500,16,8,True,8763.50000,8903.00000,0.50000,"(5,)",302,4480,0.06741071428571428
c9a04491523f4fc98849cec3f648bdc1.las,01/13/08,Kangaroo Ltd,Examine,-999.2500,13,8,True,6268.50000,6795.50000,0.50000,"(5,)",2217,13715,0.16164783084214362
659d56e6ad2b4a16a3e0178843c1feb5.las,17-Jun-1992,Demont Energy,HBX,-999.2500,11,8,True,7344.50000,8215.50000,0.50000,"(5,)",1996,19173,0.1041047306107547
c3f165afa995483983440d61381a419c.las,04-08-2020,Lots of Arrows,BaH,-999.2500,19,9,True,5644.00000,5747.50000,0.50000,"(5,)",440,3952,0.11133603238866396
133ac4f8766a4021b82c3f988b6f41cd.las,1992-01-16,Ocean Petroleum,LSP,-999.2500,15,9,True,5682.00000,5915.50000,0.50000,"(5,)",943,7020,0.13433048433048433
1a7021f5236d4fb18c60308943deeaeb.las,11/17/2023,Steven Power,HBX,-999.2500,12,8,True,2543.50000,2935.00000,0.50000,"(5,)",1081,9408,0.11490221088435375
61fd8e88a5c14df1b220c525fc7c492c.las,2018-11-14,Chad Power,Downholeloggers,-999.2500,12,9,True,8720.50000,8928.50000,0.50000,"(5,)",449,5004,0.08972821742605916
8f9f3038baee46cbaf8320876f96cfc1.las,20200418,Bivalve E&P,WRF,-999.2500,10,9,True,6688.00000,7003.50000,0.50000,"(5,)",1306,6320,0.20664556962025316
66a8190e6d374fd882a13e54bf5aae98.las,19861017,Con Resources,HBX,-999.2500,12,8,True,5828.50000,6303.00000,0.50000,"(5,)",1186,11400,0.10403508771929824
2ad69e44683c48b4a02f167f029e496c.las,06-Feb-2002,Steven Power,Examine,-999.2500,13,8,True,4266.50000,4697.00000,0.50000,"(5,)",974,11206,0.08691772264858112
c4d40331190249ef9c7302e3205cf08f.las,02-02-2010,Ocean Petroleum,Tool Diagnostics,-999.2500,15,8,True,5305.00000,5584.50000,0.50000,"(5,)",608,8400,0.07238095238095238
14c4e168f3c94dca98b0c41ba50c69fd.las,03-Aug-1998,,Johns Wireline,-999.2500,11,8,True,5693.50000,6014.50000,0.50000,"(5,)",990,5148,0.19230769230769232
93258a8220514a6e84efbce07f5b20a6.las,11/23/95,The Oil & Gas,Downholeloggers,-999.2500,12,8,True,2417.50000,2992.00000,0.50000,"(5,)",1864,13800,0.13507246376811594
b5814d1687524401980b0726d6f4cac5.las,02-02-2001,Steven Power,Specialized Drilling,-999.2500,11,8,True,6277.50000,6584.50000,0.50000,"(5,)",674,6765,0.09963045084996304
5ba3e39a59ee49929bd438421204be20.las,1989-11-05,,HBX,-999.2500,11,10,True,6447.00000,6563.00000,0.50000,"(5,)",506,2563,0.19742489270386265
a438378451494396a456f149f081cc12.las,17-Oct-2013,Oil Exploration,Specialized Drilling,-999.2500,17,9,True,8625.50000,8725.00000,0.50000,"(5,)",277,1819,0.15228147333699835
48873c5bc8e4442ea76f052ab57ead5f.las,04/09/1989,Kangaroo Ltd,Johns Wireline,-999.2500,13,8,True,7849.50000,8424.00000,0.50000,"(5,)",1214,14950,0.08120401337792642
d392e94908ac43249c1af8b2046d90ca.las,10/15/1990,,Johns Wireline,-999.2500,14,9,True,8648.50000,9525.50000,0.50000,"(5,)",3491,23576,0.14807431286053613
7c2c508766b946bda6131cb5ad981c23.las,07/02/2001,Basin Resources LLC,WRF,-999.2500,18,9,True,8969.00000,9258.50000,0.50000,"(5,)",1166,10440,0.11168582375478928
53bca4d0836c4e0faf50675eecd55a04.las,09-16-2013,Oil Exploration,Examine,-999.2500,11,8,True,5556.00000,5793.50000,0.50000,"(5,)",536,5236,0.10236822001527884
a78e207726ac48a996954a994430f518.las,"May 04, 2019",Ocean Petroleum,Tool Diagnostics,-999.2500,15,8,True,3237.50000,3346.00000,0.50000,"(5,)",368,3270,0.11253822629969419
2e6315fd30534ec99db4fd76f222c24e.las,13/09/2018,Lama Corp,HBX,-999.2500,17,8,True,8063.00000,8250.50000,0.50000,"(5,)",532,4709,0.11297515396050117
92f6f4312ffe44b99dbe7c9611443bc4.las,20151025,Ocean Petroleum,Super Cool Company,-999.2500,11,8,True,8285.50000,8966.50000,0.50000,"(5,)",2665,13992,0.19046598056032019
22edfbafa9cb481886f10de541912679.las,09-21-1992,Murph Oil,Examine,-999.2500,19,8,True,4171.00000,4405.50000,0.50000,"(5,)",1312,8930,0.14692049272116461
881938024e424ca5bad68e59aaa1bc1f.las,04/10/2005,Specs and Mobility,DHL,-999.2500,13,8,True,8723.00000,8967.00000,0.50000,"(5,)",536,6357,0.08431650149441561
5e57ba7cb843402a95f31e7f559d6a8c.las,09/27/05,Basin Resources LLC,LSP,-999.2500,19,9,True,6282.50000,6480.00000,0.50000,"(5,)",762,7524,0.10127591706539076
90e2c31854a54b40b092144a15b3d7ff.las,10/26/2013,Lake Energy,TLA,-999.2500,13,8,True,5541.00000,5851.50000,0.50000,"(5,)",1298,8086,0.16052436309671037
8d12c9a7a436418e8dd3670223c5bc8b.las,09-Jul-2011,,LSP,-999.2500,11,8,True,2939.50000,3196.00000,0.50000,"(5,)",643,5654,0.11372479660417403
9d3d8e598c0f4528b7b7324503f4556c.las,09/22/2021,,DHL,-999.2500,20,8,True,5313.00000,5651.00000,0.50000,"(5,)",1372,13540,0.10132939438700148
456ef2e2736d402e9c36d07850fc13aa.las,10/10/04,,Examine,-999.2500,19,9,True,8430.00000,8914.00000,0.50000,"(5,)",1107,18411,0.060127097930584975
9b9966503bb3493fa6b1954015600a63.las,10-09-2008,,Super Cool Company,-999.2500,12,9,True,3592.50000,3750.50000,0.50000,"(5,)",317,3804,0.08333333333333333
21eb8e5aa5ff476e921329770a693d54.las,"Aug 19, 2008",Offshore ASA,Johns Wireline,-999.2500,14,9,True,2612.00000,3213.50000,0.50000,"(5,)",1381,16856,0.08192928334124347
340840e246114f858b334e5fa2d43e73.las,19890308,Lake Energy,TLA,-999.2500,11,8,True,7277.00000,7693.50000,0.50000,"(5,)",952,9174,0.10377152823195988
0614f545342d4277bce3d918d617daca.las,04/10/96,CompletePowers,Examine,-999.2500,11,8,True,7623.50000,7920.00000,0.50000,"(5,)",666,6534,0.10192837465564739
fe075ff50d1d47ab90a27d479ac96207.las,01/16/1987,Summertime Power,Super Cool Company,-999.2500,15,9,True,8240.00000,8692.00000,0.50000,"(5,)",1760,13575,0.12965009208103132
3b110bf28b1c4276ad6090a4505b18cf.las,1997-04-09,Deepwell Energy Corp,Johns Wireline,-999.2500,14,9,True,8320.50000,8654.00000,0.50000,"(5,)",775,9352,0.0828699743370402
82b9baf59f84471ea4f39aa71cb67d49.las,16-Jan-2002,Steven Power,Special data,-999.2500,12,8,True,7719.50000,8350.50000,0.50000,"(5,)",1279,15156,0.08438902084982845
c19860ebf4274b2abf54aea18d770c0e.las,16-Aug-2014,Basin Resources LLC,Examine,-999.2500,11,8,True,4044.00000,4485.50000,0.50000,"(5,)",1780,9724,0.1830522418757713
b103acab7951405290b8d757be9d4a0f.las,20080414,Lots of Arrows,Special data,-999.2500,11,8,True,8344.00000,8472.00000,0.50000,"(5,)",283,2827,0.10010611956137248
d950bd5b60b74d18b48a39eb38fd3bfc.las,17-Jun-1993,,HBX,-999.2500,11,9,True,4182.00000,4336.50000,0.50000,"(5,)",368,3410,0.10791788856304986
7dcae6b79ac84176a82f4725f02079fa.las,05/11/1999,Lake Energy,SQR,-999.2500,12,9,True,4806.00000,5025.00000,0.50000,"(5,)",717,5268,0.13610478359908884
98aa171bfabc4404a601d4ccee30547e.las,19/09/2009,,SQR,-999.2500,13,9,True,8622.00000,9198.50000,0.50000,"(5,)",1238,15002,0.08252233035595254
17985982829a45dcb57ea813d4263567.las,10-Feb-2001,Deepwell Energy Corp,Specialized Drilling,-999.2500,16,8,True,7889.00000,8685.50000,0.50000,"(5,)",1827,25504,0.0716358218318695
cc0a41e52dde476390e516a3a96ef843.las,20091101,Kangaroo Ltd,Johns Wireline,-999.2500,11,8,True,6624.50000,6724.00000,0.50000,"(5,)",247,2200,0.11227272727272727
ca4ab208f4a84389a1387b742d1c4b44.las,11/08/22,Oil Exploration,Special data,-999.2500,13,8,True,7653.00000,8025.50000,0.50000,"(5,)",811,9698,0.08362548979170963
3971e3a3055043c7bc6e2256010cf7f2.las,"Mar 24, 2013",,SQR,-999.2500,15,10,True,8504.50000,8705.00000,0.50000,"(5,)",467,6030,0.07744610281923715
