well_id,n_rows,n_curves_in,families,vsh_method,phit_method,sw_method,rho_ma,no_deep_res,apparent_pay_frac,honeypot_score,is_honeypot,honeypot_flags,final_pay_frac,vetoed,violations
008a81a1e28845dcab7bed7d8febd9b4,273,10,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.87,True,0.0256,1.0,False,fragile_resistivity_pay,0.0256,False,
00dda84c93a842bba5c912dcf3d7f884,235,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.4213,0.0,False,,0.4213,False,
01155052c34b43b096bfef59b323d70d,397,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.5668,0.0,False,,0.5668,False,
01cb6035729e431a9153167ad247edfc,875,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.216,0.0,False,,0.216,False,
01dc0279a4b74d0caffebb49f00286ca,731,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.3516,0.0,False,,0.3516,False,
0254d93c31c84cc286a97e99c70474a4,553,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.5262,0.0,False,,0.5262,False,
02a3d8c533f94c078f62f801cb88148d,163,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.0184,0.0,False,,0.0184,False,
02b466d77c694e06b254edaaedbc5689,375,19,BIT|CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.24,0.0,False,,0.24,False,
02bc75fa9e6840c1aeab665063361ce1,842,11,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.87,True,0.2387,1.0,False,fragile_resistivity_pay,0.2387,False,
030a6ceaabf5430ea30acd671d0d2aa7,398,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.6683,0.0,False,,0.6683,False,
03f65be0dc074aa18b22c1bf21a0e2df,344,17,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.5058,0.0,False,,0.5058,False,
040086c1b6fd4abfb585e3bfe78244b4,322,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.0932,0.0,False,,0.0932,False,
04a27469892a4fabb084f2f2b5bbca09,1014,12,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.3935,0.0,False,,0.3935,False,
0520c101e4e04507808cdba98cb10377,517,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.2882,0.0,False,,0.2882,False,
05360fcd060e4183bb33f5fe50d4d1b3,557,10,CAL|DT|GR|NPHI|PE|RHOB|RT|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.5925,0.0,False,,0.5925,False,
0555f245365447d5bc4adc153cc34980,151,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.1126,0.0,False,,0.1126,False,
05cc418b68194a9ea4fbbb4affde607b,1153,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.5776,0.0,False,,0.5776,False,
05f283f468de4325a1cef03b23682244,200,12,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.25,0.0,False,,0.25,False,
0614f545342d4277bce3d918d617daca,594,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.3653,0.0,False,,0.3653,False,
061756c2dff340249661ed788b40d1dc,896,14,BIT|CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SALINITY|SP,gr_linear,neutron_density,simandoux_rt,2.87,False,0.2623,0.0,False,,0.2623,False,
068f5ccb27504188a42183155bda4bb0,1009,17,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.4569,0.0,False,,0.4569,False,
06da48c78e6e4e1095bf12be7053fb3f,613,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.491,0.0,False,,0.491,False,
070cdd6c286447b5971bcdbdae557847,803,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,False,0.325,0.0,False,,0.325,False,
